,deploy_num,halodule,algae,oyster,saltmarsh,other,shannonD,evenness,seagrass,shannonD_comb,evenness_comb,total_cover,avg_blade_length,max10,depth_m_avg,sal_avg,total_abund_sum,comm_richness_sum,comm_shannonD_sum,carnivore,omnivore,soniferous_S,detritivore,invertivore,omni_2,planktivore,num_bai_chr,seagrass_area,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_area,saltmarsh_core.area,saltmarsh_perimeter,saltmarsh_perim.area.ratio,oyster_area,oyster_core.area,oyster_perimeter,oyster_perim.area.ratio,habitat_total,NNratio,dist2adjPatch,richness_landscape,avg_temp,avgTempAll,avgTempNight,medTemp,minTemp,maxTemp,avg_spl_low,avg_spl_high,TFPercentPresenceNight,TFAvgPresentNight,TFMaxRate,PerchPercentPresenceNight,PerchAvgPresentNight,PerchMaxRate
oyster_area,-0.163667248,-0.470362687,0.836344714,0.969192176,-0.449226463,-0.470362687,-0.043326037,-0.043326037,-0.470362687,-0.043326037,-0.043326037,0.816019405,-0.470362687,-0.470362687,0.685677303,-0.322110407,0.113018979,-0.005378569,-0.251519911,-0.251866538,0.186587144,0.015489855,0.253468023,-0.251866538,-0.394748387,-0.470362687,-0.038182827,0.619127113,0.191034888,0.71561055,0.123803297,0.239352113,0.14781229,0.476397581,-0.289450962,1,0.806624573,0.983236993,-0.366019055,0.523742164,-0.255400741,-0.032334073,-0.093264154,-0.260015234,-0.202924265,-0.122797334,-0.200159912,0.070624435,-0.333492565,0.856524461,0.732671255,0.808192164,0.781851591,0.797901148,0.473628428,0.77462355,0.680353806
oyster_core.area,-0.524735239,-0.454529797,0.815539364,0.715825209,-0.354284318,-0.454529797,-0.046669628,-0.046669628,-0.454529797,-0.046669628,-0.046669628,0.589225523,-0.454529797,-0.454529797,0.557206366,-0.2882292,-0.018277531,0.060591134,0.003569365,-0.114600814,0.009581133,0.127953668,0.074511905,-0.114600814,-0.426406988,-0.454529797,0.495569008,0.448767134,0.156813154,0.518331264,-0.135655004,-0.111310661,-0.155715859,0.192833911,0.054123219,0.806624573,1,0.695294274,-0.666981327,0.158279646,0.164270101,-0.28061342,-0.284226836,-0.732686811,-0.698955325,-0.649144097,-0.708108911,-0.404714326,-0.36324119,0.650723089,0.350158215,0.681144042,0.820456317,0.78118892,0.853210198,0.81454657,0.895277292
oyster_perimeter,-0.071841156,-0.460619425,0.773978213,0.959391098,-0.453812569,-0.460619425,0.011742153,0.011742153,-0.460619425,0.011742153,0.011742153,0.799258756,-0.460619425,-0.460619425,0.704684963,-0.278600311,0.085522128,-0.081325099,-0.343505357,-0.320231608,0.174372576,-0.071669945,0.239806481,-0.320231608,-0.3881316,-0.460619425,-0.163783156,0.569903226,0.132995593,0.677692291,0.144545214,0.321250777,0.216277548,0.569754533,-0.337129602,0.983236993,0.695294274,1,-0.246582645,0.581360716,-0.328121599,0.093407042,-0.092422716,-0.128903162,-0.062934803,0.015714087,-0.057293396,0.172488488,-0.306072449,0.865195121,0.792510058,0.803535098,0.735319059,0.760609007,0.348400332,0.713710363,0.58060068
oyster_perim.area.ratio,-0.00037105,0.652534519,-0.369511792,-0.238063633,-0.357514677,0.652534519,0.226585557,0.226585557,0.652534519,0.226585557,0.226585557,-0.521230111,0.652534519,0.652534519,-0.28651556,0.744806773,-0.043010115,0.056884961,0.063375032,-0.146291809,-0.0090329,-0.01382483,-0.103306142,-0.146291809,0.622171086,0.652534519,-0.478805212,-0.159883498,-0.473606492,-0.032324922,0.476748596,0.599671943,0.593158499,0.342132417,-0.187067784,-0.366019055,-0.666981327,-0.246582645,1,0.397504051,-0.212391755,0.431090673,0.252637158,0.587553892,0.643503596,0.571226159,0.620381567,0.262438037,0.398689941,-0.34171259,-0.284978114,-0.145689209,-0.286213269,-0.23740866,-0.447918276,-0.298660621,-0.409757718
habitat_total,-0.099814235,0.429545122,0.384094805,0.576828284,-0.438905441,0.429545122,-0.174714154,-0.174714154,0.429545122,-0.174714154,-0.174714154,0.389620114,0.429545122,0.429545122,0.368568317,0.161401917,0.215533014,0.322077025,0.244005312,-0.053174413,0.246506272,0.342161027,0.184062843,-0.053174413,0.475523867,0.429545122,-0.424246992,0.556261306,-0.001958899,0.678188093,0.358465915,0.944510863,0.913926354,0.34421286,-0.802179434,0.523742164,0.158279646,0.581360716,0.397504051,1,-0.738667386,0.401732279,0.092206402,0.282385755,0.286813261,0.39712027,0.295969797,0.522334521,-0.29294621,0.551009173,0.397249551,0.56117165,0.421303933,0.472369222,0.046932629,0.394317823,0.224372832
NNratio,-0.455475996,-0.327272069,-0.171579577,-0.297833036,-0.202142409,-0.327272069,0.412209879,0.412209879,-0.327272069,0.412209879,0.412209879,-0.515792382,-0.327272069,-0.327272069,-0.066594705,0.318230472,-0.28174968,-0.22180003,-0.160938916,-0.156040044,-0.26451075,-0.230253144,-0.21745261,-0.156040044,-0.377035311,-0.327272069,0.704374852,-0.500683455,-0.344374451,-0.472995848,-0.338559185,-0.716714741,-0.733399694,0.152375724,0.971625611,-0.255400741,0.164270101,-0.328121599,-0.212391755,-0.738667386,1,-0.35038078,-0.350651685,-0.604221015,-0.542968619,-0.709064243,-0.581964033,-0.935334024,0.397694608,-0.442417578,-0.551113519,-0.197896862,0.013835837,-0.066479886,0.418422834,-0.05674967,0.19801794
dist2adjPatch,-0.006947488,0.202264789,-0.109887041,-0.14722425,0.006240482,0.202264789,0.473391206,0.473391206,0.202264789,0.473391206,0.473391206,-0.162180018,0.202264789,0.202264789,0.189139532,0.281575746,-0.547548744,-0.565022688,-0.286293043,-0.552885915,-0.450153608,-0.493876456,-0.479406591,-0.552885915,0.081939378,0.202264789,-0.169498436,-0.464543201,-0.618078093,-0.321264818,-0.23929708,0.570384801,0.52736203,0.385565806,-0.344784987,-0.032334073,-0.28061342,0.093407042,0.431090673,0.401732279,-0.35038078,1,-0.491165857,0.177282639,0.208604258,0.269183286,0.233396553,0.305565644,-0.37271556,0.336020116,0.288066325,0.158951061,0.065459172,0.04902759,-0.168220521,-0.035687004,-0.149279589
richness_landscape,0.333333333,0.21821789,0.091904992,0.089758313,0.132006167,0.21821789,-0.54998194,-0.54998194,0.21821789,-0.54998194,-0.54998194,0.214080026,0.21821789,0.21821789,-0.438133218,-0.092450033,0.377001345,0.42528457,0.206105647,0.49898333,0.279662544,0.277350098,0.248516568,0.49898333,0.275134628,0.21821789,-0.654653671,0.584609218,0.537867844,0.500148674,0.835407431,0.027908892,0.074504148,-0.335652239,-0.257749391,-0.093264154,-0.284226836,-0.092422716,0.252637158,0.092206402,-0.350651685,-0.491165857,1,0.604796144,0.614430884,0.581418342,0.586236089,0.460779794,0.468228761,-0.294855485,-0.040994374,-0.098391016,-0.244066219,-0.131194861,-0.411453126,-0.020060941,-0.195132972
avg_temp,0.712451429,0.295232324,-0.401139071,-0.11410791,0.260669261,0.295232324,-0.342523082,-0.342523082,0.295232324,-0.342523082,-0.342523082,0.053709269,0.295232324,0.295232324,-0.163070128,0.048927506,0.264874306,0.132263374,-0.036160798,0.285763563,0.213074201,0.000833071,0.170922701,0.285763563,0.331270912,0.295232324,-0.944109964,0.177811769,0.284617412,0.088472743,0.432476504,0.372831636,0.371817118,-0.00954533,-0.442294974,-0.260015234,-0.732686811,-0.128903162,0.587553892,0.282385755,-0.604221015,0.177282639,0.604796144,1,0.981668636,0.980944299,0.989030946,0.801416683,0.378528589,-0.26587132,0.115718866,-0.189384471,-0.459590586,-0.353879131,-0.86711461,-0.427911437,-0.670868639
avgTempAll,0.636824352,0.237322761,-0.317913503,-0.057887995,0.163948976,0.237322761,-0.245885205,-0.245885205,0.237322761,-0.245885205,-0.245885205,0.049774128,0.237322761,0.237322761,-0.13779204,0.135129661,0.158026205,0.030849582,-0.14242179,0.180425077,0.124578754,-0.116859565,0.090640001,0.180425077,0.255148122,0.237322761,-0.956053748,0.162726589,0.190415525,0.113672788,0.506983194,0.365459097,0.34631235,0.12210605,-0.371445309,-0.202924265,-0.698955325,-0.062934803,0.643503596,0.286813261,-0.542968619,0.208604258,0.614430884,0.981668636,1,0.97370861,0.996379762,0.743041907,0.452225497,-0.237486531,0.142568569,-0.101345967,-0.375592305,-0.266234399,-0.817682136,-0.333390423,-0.59233791
avgTempNight,0.700807071,0.253935863,-0.258594606,0.006191648,0.218031476,0.253935863,-0.290061745,-0.290061745,0.253935863,-0.290061745,-0.290061745,0.166821843,0.253935863,0.253935863,-0.113467479,-0.011862622,0.224206343,0.062288987,-0.110321552,0.172429982,0.198136755,-0.052786699,0.161777699,0.172429982,0.28949443,0.253935863,-0.975212865,0.229467682,0.24842985,0.172411898,0.476428719,0.462640583,0.45139041,0.04567347,-0.554642567,-0.122797334,-0.649144097,0.015714087,0.571226159,0.39712027,-0.709064243,0.269183286,0.581418342,0.980944299,0.97370861,1,0.985842966,0.873611017,0.249215849,-0.085349805,0.279258875,-0.083751148,-0.366935433,-0.25794074,-0.830238774,-0.317030118,-0.595591713
medTemp,0.686081651,0.228774924,-0.33677122,-0.060613606,0.192963877,0.228774924,-0.240726666,-0.240726666,0.228774924,-0.240726666,-0.240726666,0.066490209,0.228774924,0.228774924,-0.137775958,0.080307312,0.187157905,0.026304863,-0.153812735,0.166435874,0.159637774,-0.109581899,0.126918862,0.166435874,0.255807543,0.228774924,-0.958987131,0.15079173,0.200003869,0.09431152,0.472023238,0.377762094,0.360330714,0.098595198,-0.412079509,-0.200159912,-0.708108911,-0.057293396,0.620381567,0.295969797,-0.581964033,0.233396553,0.586236089,0.989030946,0.996379762,0.985842966,1,0.782808829,0.389016486,-0.20527683,0.182854138,-0.130741118,-0.407756909,-0.300772394,-0.849807953,-0.369807634,-0.630652482
minTemp,0.708891991,0.21702506,-0.044433185,0.137015344,0.362895106,0.21702506,-0.39401664,-0.39401664,0.21702506,-0.39401664,-0.39401664,0.431146297,0.21702506,0.21702506,-0.051267259,-0.360261226,0.288184664,0.109548781,-0.008970614,0.179422291,0.265479653,0.074596626,0.234463447,0.179422291,0.270824335,0.21702506,-0.853085926,0.365009585,0.390214829,0.287238325,0.345397568,0.534440689,0.54683172,-0.181140844,-0.83541749,0.070624435,-0.404714326,0.172488488,0.262438037,0.522334521,-0.935334024,0.305565644,0.460779794,0.801416683,0.743041907,0.873611017,0.782808829,1,-0.205573486,0.244161285,0.521419591,-0.006004503,-0.257751285,-0.163981431,-0.688508815,-0.179616902,-0.458203427
maxTemp,0.015289102,0.053798735,-0.326800269,-0.188439522,-0.106705462,0.053798735,-0.189813793,-0.189813793,0.053798735,-0.189813793,-0.189813793,-0.307520378,0.053798735,0.053798735,-0.077136746,0.528464093,0.005231883,0.143861603,0.023234532,0.361535455,-0.086878647,-0.052475371,-0.094266356,0.361535455,0.02667308,0.053798735,-0.29651861,0.019555252,0.110061439,-0.027873364,0.312552128,-0.261482616,-0.285029538,0.220238758,0.521092997,-0.333492565,-0.36324119,-0.306072449,0.398689941,-0.29294621,0.397694608,-0.37271556,0.468228761,0.378528589,0.452225497,0.249215849,0.389016486,-0.205573486,1,-0.719077493,-0.527731767,-0.06698784,-0.131675114,-0.080069794,-0.211501998,-0.15165108,-0.15527016
avg_spl_low,-0.075118841,-0.372866023,0.751905896,0.750851653,-0.237086148,-0.372866023,0.162696807,0.162696807,-0.372866023,0.162696807,0.162696807,0.716302967,-0.372866023,-0.372866023,0.514979073,-0.438977162,-0.072043396,-0.249732122,-0.32951772,-0.479858928,0.044968602,-0.148857304,0.097876787,-0.479858928,-0.337591501,-0.372866023,0.001018513,0.34388358,-0.027342078,0.464113081,-0.022497189,0.360601775,0.293778422,0.317943292,-0.498088683,0.856524461,0.650723089,0.865195121,-0.34171259,0.551009173,-0.442417578,0.336020116,-0.294855485,-0.26587132,-0.237486531,-0.085349805,-0.20527683,0.244161285,-0.719077493,1,0.864866584,0.635204503,0.608858283,0.604379404,0.346457531,0.623517262,0.505736261
avg_spl_high,0.385817459,-0.542969266,0.557188683,0.672675096,0.003433272,-0.542969266,0.092078099,0.092078099,-0.542969266,0.092078099,0.092078099,0.78394379,-0.542969266,-0.542969266,0.401196541,-0.620029773,0.022911078,-0.363857445,-0.58186387,-0.425533701,0.133668676,-0.327964501,0.211248223,-0.425533701,-0.479124951,-0.542969266,-0.360536158,0.31842805,0.154014894,0.362173891,0.086084931,0.216083664,0.138542008,0.272760218,-0.495304799,0.732671255,0.350158215,0.792510058,-0.284978114,0.397249551,-0.551113519,0.288066325,-0.040994374,0.115718866,0.142568569,0.279258875,0.182854138,0.521419591,-0.527731767,0.864866584,1,0.437709436,0.310551191,0.345033486,-0.091603784,0.359828748,0.148834926
TFPercentPresenceNight,-0.430278789,-0.211990291,0.762201543,0.752869831,-0.358277301,-0.211990291,-0.162329,-0.162329,-0.211990291,-0.162329,-0.162329,0.638645137,-0.211990291,-0.211990291,0.777212015,0.089811652,-0.268761422,-0.059962921,-0.040755048,-0.07318809,-0.271681409,-0.089309434,-0.241424291,-0.07318809,-0.267282713,-0.211990291,-0.081980782,0.525926849,0.09061498,0.640331911,0.085785914,0.35246854,0.265593,0.538889182,-0.213639988,0.808192164,0.681144042,0.803535098,-0.145689209,0.56117165,-0.197896862,0.158951061,-0.098391016,-0.189384471,-0.101345967,-0.083751148,-0.130741118,-0.006004503,-0.06698784,0.635204503,0.437709436,1,0.957028491,0.980593915,0.585674429,0.909513545,0.807158405
TFAvgPresentNight,-0.62133075,-0.242167048,0.790939105,0.696155114,-0.404917607,-0.242167048,-0.077066022,-0.077066022,-0.242167048,-0.077066022,-0.077066022,0.53842137,-0.242167048,-0.242167048,0.741305922,0.102596316,-0.31243657,-0.054093102,0.020052068,-0.106476606,-0.310355181,-0.048280711,-0.275790971,-0.106476606,-0.305330331,-0.242167048,0.205596513,0.435826649,0.011046367,0.561637742,-0.037333702,0.209966521,0.135545651,0.477424096,-0.049839839,0.781851591,0.820456317,0.735319059,-0.286213269,0.421303933,0.013835837,0.065459172,-0.244066219,-0.459590586,-0.375592305,-0.366935433,-0.407756909,-0.257751285,-0.131675114,0.608858283,0.310551191,0.957028491,1,0.991517193,0.793449613,0.946422105,0.931732017
TFMaxRate,-0.560971128,-0.222122061,0.809100504,0.73285664,-0.391610954,-0.222122061,-0.145086379,-0.145086379,-0.222122061,-0.145086379,-0.145086379,0.592516521,-0.222122061,-0.222122061,0.730233713,0.094104071,-0.277516026,-0.02151349,0.022744713,-0.059416475,-0.284666031,-0.036386907,-0.252962818,-0.059416475,-0.280057105,-0.222122061,0.085887197,0.51585511,0.075210977,0.634686595,0.061002993,0.251659768,0.176410158,0.475207575,-0.112197805,0.797901148,0.78118892,0.760609007,-0.23740866,0.472369222,-0.066479886,0.04902759,-0.131194861,-0.353879131,-0.266234399,-0.25794074,-0.300772394,-0.163981431,-0.080069794,0.604379404,0.345033486,0.980593915,0.991517193,1,0.726367533,0.956773467,0.905901931
PerchPercentPresenceNight,-0.87292202,-0.146398136,0.631496854,0.362226112,-0.395703481,-0.146398136,0.079503963,0.079503963,-0.146398136,0.079503963,0.079503963,0.153754171,-0.146398136,-0.146398136,0.397887397,0.138090476,-0.294649629,0.039153431,0.220419505,-0.097077565,-0.293540901,0.112992047,-0.272730997,-0.097077565,-0.210192306,-0.146398136,0.725522828,0.16569868,-0.146926039,0.282158149,-0.212349209,-0.102124788,-0.1183557,0.16714613,0.264373864,0.473628428,0.853210198,0.348400332,-0.447918276,0.046932629,0.418422834,-0.168220521,-0.411453126,-0.86711461,-0.817682136,-0.830238774,-0.849807953,-0.688508815,-0.211501998,0.346457531,-0.091603784,0.585674429,0.793449613,0.726367533,1,0.760635966,0.928500525
PerchAvgPresentNight,-0.599373124,-0.232043947,0.923237619,0.704246823,-0.345884118,-0.232043947,-0.110069314,-0.110069314,-0.232043947,-0.110069314,-0.110069314,0.596325709,-0.232043947,-0.232043947,0.5249721,0.001082216,-0.314085879,-0.05408112,0.012506304,-0.100953822,-0.313550871,-0.056414939,-0.280444545,-0.100953822,-0.296476308,-0.232043947,0.137805987,0.531461874,0.06738687,0.662053113,0.196630078,0.162426809,0.109746849,0.317124451,-0.116738888,0.77462355,0.81454657,0.713710363,-0.298660621,0.394317823,-0.05674967,-0.035687004,-0.020060941,-0.427911437,-0.333390423,-0.317030118,-0.369807634,-0.179616902,-0.15165108,0.623517262,0.359828748,0.909513545,0.946422105,0.956773467,0.760635966,1,0.944602871
PerchMaxRate,-0.763051971,-0.228476634,0.835005461,0.591521098,-0.39411509,-0.228476634,-0.046234835,-0.046234835,-0.228476634,-0.046234835,-0.046234835,0.426573096,-0.228476634,-0.228476634,0.505299266,0.060650185,-0.300614346,0.007654613,0.115813769,-0.078561117,-0.304725277,0.03532156,-0.272124682,-0.078561117,-0.290950049,-0.228476634,0.435390056,0.403544685,-0.001663602,0.526913276,0.010143517,0.009421409,-0.030082591,0.264187335,0.092559524,0.680353806,0.895277292,0.58060068,-0.409757718,0.224372832,0.19801794,-0.149279589,-0.195132972,-0.670868639,-0.59233791,-0.595591713,-0.630652482,-0.458203427,-0.15527016,0.505736261,0.148834926,0.807158405,0.931732017,0.905901931,0.928500525,0.944602871,1
